Quarter,Game Clock (s),Basket,Boxer ID,Target ID,Boxer Team,Target Team,Boxer Distance to Basket (ft),Target Distance to Basket (ft),Distance Between Players (ft)
Q1,701.5,Left,201587,202685,1610612766,1610612761,4.97,5.34,1.33
Q1,686.03,Right,200768,201587,1610612761,1610612766,11.98,12.92,4.58
Q1,686.03,Right,203469,202685,1610612766,1610612761,1.12,5.76,4.74
Q1,667.39,Left,203469,202685,1610612766,1610612761,3.44,4.18,1.54
Q1,659.28,Right,203469,200768,1610612766,1610612761,9.1,10.96,1.91
Q1,633.0,Left,203469,201960,1610612766,1610612761,7.22,10.59,3.68
Q1,633.0,Left,2449,201587,1610612761,1610612766,10.4,13.4,3.73
Q1,619.79,Right,202685,203469,1610612761,1610612766,3.5,4.05,0.59
Q1,597.51,Left,201942,203798,1610612761,1610612766,6.34,6.9,1.92
Q1,597.51,Left,203469,202685,1610612766,1610612761,8.09,10.22,2.93
Q1,597.51,Left,101107,2449,1610612766,1610612761,6.86,8.8,4.74
Q1,596.51,Left,101107,2449,1610612766,1610612761,3.15,3.94,2.22
Q1,596.51,Left,203469,202685,1610612766,1610612761,10.2,12.64,2.57
Q1,596.51,Left,201942,203798,1610612761,1610612766,4.69,7.32,3.21
Q1,594.27,Left,101107,2449,1610612766,1610612761,2.3,3.06,1.71
Q1,588.35,Right,202685,203469,1610612761,1610612766,2.55,3.1,3.58
Q1,588.35,Right,202689,200768,1610612766,1610612761,7.7,11.29,4.38
Q1,568.99,Right,201960,202689,1610612761,1610612766,4.98,6.27,2.53
Q1,568.99,Right,203469,200768,1610612766,1610612761,1.12,4.53,4.33
Q1,554.47,Left,203469,202685,1610612766,1610612761,8.35,12.4,4.12
Q1,517.0,Left,202689,200768,1610612766,1610612761,1.21,2.87,2.0
Q1,517.0,Left,203469,202685,1610612766,1610612761,9.91,13.99,4.13
Q1,503.27,Right,200768,202689,1610612761,1610612766,9.82,12.92,3.11
Q1,471.32,Left,203798,202685,1610612766,1610612761,6.35,7.22,1.52
Q1,450.36,Right,203469,202685,1610612766,1610612761,1.71,2.81,3.14
Q1,445.28,Right,201942,201587,1610612761,1610612766,4.47,5.72,1.28
Q1,432.52,Right,101107,201942,1610612766,1610612761,3.47,7.18,4.0
Q1,414.36,Left,202685,202689,1610612761,1610612766,4.5,5.92,1.53
Q1,414.36,Left,101107,2449,1610612766,1610612761,11.96,16.19,4.25
Q1,394.49,Right,203469,201942,1610612766,1610612761,7.26,7.92,1.55
Q1,386.29,Left,202685,203469,1610612761,1610612766,4.39,4.59,1.44
Q1,374.0,Right,101107,201960,1610612766,1610612761,10.0,12.89,2.91
Q1,374.0,Right,202685,201587,1610612761,1610612766,7.66,10.36,3.79
Q1,319.97,Left,203798,202685,1610612766,1610612761,5.16,6.21,1.22
Q1,319.97,Left,203469,2449,1610612766,1610612761,9.57,13.1,4.21
Q1,285.94,Left,203469,202685,1610612766,1610612761,7.32,8.39,1.8
Q1,285.94,Left,203798,201942,1610612766,1610612761,1.67,3.59,1.92
Q1,262.0,Right,1626163,203082,1610612766,1610612761,9.76,12.1,2.73
Q1,262.0,Right,2449,201587,1610612761,1610612766,6.47,11.01,4.72
Q1,244.78,Left,203469,202685,1610612766,1610612761,4.86,5.91,1.67
Q1,227.9,Right,201942,203469,1610612761,1610612766,4.07,6.1,2.08
Q1,221.22,Right,1626163,201942,1610612766,1610612761,3.08,3.14,1.65
Q1,221.22,Right,202335,203469,1610612761,1610612766,12.7,15.96,3.34
Q1,220.22,Right,201942,203798,1610612761,1610612766,5.31,5.77,0.74
Q1,220.22,Right,200768,1626163,1610612761,1610612766,2.95,3.06,1.64
Q1,193.29,Right,202687,203469,1610612761,1610612766,7.13,9.7,2.82
Q1,173.33,Left,202687,203469,1610612761,1610612766,3.01,4.46,1.5
Q1,173.33,Left,202689,200768,1610612766,1610612761,6.88,10.58,3.74
Q1,165.41,Right,202687,203469,1610612761,1610612766,5.29,6.58,1.82
Q1,165.41,Right,201942,202689,1610612761,1610612766,11.16,11.79,2.51
Q1,155.57,Left,203798,201942,1610612766,1610612761,2.38,3.81,2.03
Q1,146.61,Left,201946,202687,1610612766,1610612761,8.46,9.21,1.89
Q1,146.61,Left,203148,202335,1610612766,1610612761,8.9,9.31,2.28
Q1,146.61,Left,1626163,201942,1610612766,1610612761,5.65,5.82,3.19
Q1,122.75,Left,201946,202687,1610612766,1610612761,5.64,6.04,1.31
Q1,122.75,Left,203087,202335,1610612766,1610612761,7.45,7.59,2.29
Q1,104.0,Right,202687,201946,1610612761,1610612766,7.56,10.18,3.01
Q1,87.97,Left,201946,202335,1610612766,1610612761,5.48,5.71,1.67
Q1,87.97,Left,202687,203148,1610612761,1610612766,3.45,5.41,2.02
Q1,76.93,Right,202689,202335,1610612766,1610612761,3.58,4.99,2.84
Q1,66.25,Left,202687,1626163,1610612761,1610612766,10.57,10.78,1.27
Q1,66.25,Left,201942,202689,1610612761,1610612766,3.7,5.54,2.18
Q1,46.04,Right,202687,201946,1610612761,1610612766,6.39,9.34,3.2
Q1,34.24,Left,202689,202687,1610612766,1610612761,7.0,7.89,2.19
Q1,34.24,Left,201942,201946,1610612761,1610612766,3.23,5.54,2.75
Q1,22.17,Right,202687,1626163,1610612761,1610612766,4.31,6.75,2.47
Q1,22.17,Right,203087,202335,1610612766,1610612761,2.51,4.04,3.52
Q1,21.17,Right,201946,202687,1610612766,1610612761,3.05,4.65,2.27
Q1,21.17,Right,202335,203087,1610612761,1610612766,4.83,7.26,2.46
Q1,19.65,Right,201946,202687,1610612766,1610612761,3.9,4.89,1.98
Q1,19.65,Right,201942,203087,1610612761,1610612766,5.12,7.08,3.29
Q1,19.65,Right,1626163,202709,1610612766,1610612761,13.5,18.04,4.63
Q1,2.77,Right,202687,201946,1610612761,1610612766,8.71,11.54,3.19
Q2,703.86,Right,201946,202687,1610612766,1610612761,2.9,4.13,1.44
Q2,699.7,Right,202687,201946,1610612761,1610612766,0.8,1.91,1.7
Q2,695.78,Right,200768,203087,1610612761,1610612766,4.4,6.47,2.12
Q2,679.78,Left,1626163,202335,1610612766,1610612761,2.66,5.36,2.73
Q2,660.58,Right,201946,202709,1610612766,1610612761,1.8,3.03,1.31
Q2,660.58,Right,202335,1626163,1610612761,1610612766,7.5,9.53,2.92
Q2,659.58,Right,202687,201946,1610612761,1610612766,2.18,3.84,1.88
Q2,634.57,Left,201946,202687,1610612766,1610612761,9.52,12.68,3.19
Q2,634.57,Left,201587,201949,1610612766,1610612761,6.74,11.67,4.93
Q2,616.67,Right,202687,201946,1610612761,1610612766,4.15,5.51,2.49
Q2,616.67,Right,202709,203087,1610612761,1610612766,9.34,11.67,2.79
Q2,591.46,Left,201949,201587,1610612761,1610612766,8.17,8.21,2.04
Q2,591.46,Left,201946,202687,1610612766,1610612761,6.32,11.1,4.78
Q2,571.63,Right,202687,201946,1610612761,1610612766,3.64,4.5,2.13
Q2,571.63,Right,201587,202335,1610612766,1610612761,5.12,5.42,2.15
Q2,571.63,Right,203148,201949,1610612766,1610612761,5.33,6.01,4.18
Q2,561.43,Left,202709,201946,1610612761,1610612766,0.78,4.65,4.04
Q2,561.43,Left,203087,202687,1610612766,1610612761,7.64,12.0,4.48
